Date,Month,Day,Price,Open,High,Low,Volume,Chg%
"Dec 30, 2020",Dec,Wed,1434.95,1420,1443,1408,1.64M,0.0171
"Dec 29, 2020",Dec,Tue,1410.8,1426,1427.9,1408,928.55K,-0.005
"Dec 28, 2020",Dec,Mon,1417.95,1420,1438.3,1411.1,1.32M,0.0064
"Dec 24, 2020",Dec,Thu,1408.95,1421,1428.4,1403.2,1.24M,-0.0018
"Dec 23, 2020",Dec,Wed,1411.55,1404.4,1423.5,1379.05,1.63M,0.0089
"Dec 22, 2020",Dec,Tue,1399.05,1374,1408.95,1336.45,2.68M,0.0186
"Dec 21, 2020",Dec,Mon,1373.5,1423.8,1437.5,1359,2.56M,-0.0358
"Dec 18, 2020",Dec,Fri,1424.5,1430,1456.5,1410,3.27M,-0.0002
"Dec 17, 2020",Dec,Thu,1424.85,1431,1441.1,1420.25,1.33M,0.001
"Dec 16, 2020",Dec,Wed,1423.4,1453.8,1455.9,1420,3.56M,-0.0122
"Dec 15, 2020",Dec,Tue,1441,1494.9,1498,1431.1,5.27M,-0.0257
"Dec 14, 2020",Dec,Mon,1479,1424.9,1508.7,1422.05,9.44M,0.0408
"Dec 11, 2020",Dec,Fri,1421,1403.95,1448.8,1400,9.77M,-0.0219
"Dec 10, 2020",Dec,Thu,1452.75,1405,1524.65,1405,17.19M,-0.102
"Dec 09, 2020",Dec,Wed,1617.75,1666.6,1701.25,1601,3.69M,-0.0187
"Dec 08, 2020",Dec,Tue,1648.5,1706.8,1800,1596.6,6.11M,-0.0255
"Dec 07, 2020",Dec,Mon,1691.55,1585,1720,1583,7.81M,0.077
"Dec 04, 2020",Dec,Fri,1570.6,1382,1597,1382,10.43M,0.1397
"Dec 03, 2020",Dec,Thu,1378.05,1364,1396.05,1350,631.55K,0.0209
"Dec 02, 2020",Dec,Wed,1349.9,1368,1368.8,1346.55,186.84K,-0.006
"Dec 01, 2020",Dec,Tue,1358.1,1358,1368,1353.5,189.34K,0.0034
"Nov 27, 2020",Nov,Fri,1353.45,1346.3,1366.75,1346.3,198.92K,0.0016
"Nov 26, 2020",Nov,Thu,1351.35,1356,1359.95,1346.3,122.93K,-0.0019
"Nov 25, 2020",Nov,Wed,1353.9,1370,1370,1353,189.93K,-0.0062
"Nov 24, 2020",Nov,Tue,1362.3,1370.2,1379.2,1357,224.46K,0
"Nov 23, 2020",Nov,Mon,1362.35,1368,1374,1357,322.53K,-0.0136
"Nov 20, 2020",Nov,Fri,1381.15,1390,1399,1361.65,503.58K,0.0037
"Nov 19, 2020",Nov,Thu,1376.05,1364,1380,1360,227.21K,0.0079
"Nov 18, 2020",Nov,Wed,1365.3,1365,1370.95,1352.1,312.00K,-0.0109
"Nov 17, 2020",Nov,Tue,1380.3,1398.65,1407,1372.6,418.71K,-0.0064
"Nov 13, 2020",Nov,Fri,1389.25,1369,1403,1365.9,619.64K,0.0056
"Nov 12, 2020",Nov,Thu,1381.45,1375,1400,1355.1,494.24K,0.0074
"Nov 11, 2020",Nov,Wed,1371.25,1398,1407,1343,611.90K,-0.0023
"Nov 10, 2020",Nov,Tue,1374.35,1325,1416.85,1322.05,1.89M,0.0468
"Nov 09, 2020",Nov,Mon,1312.85,1318,1322.55,1311,134.49K,0.0013
"Nov 06, 2020",Nov,Fri,1311.2,1318,1318.4,1308.3,108.11K,0.0006
"Nov 05, 2020",Nov,Thu,1310.4,1301.1,1316.55,1301.1,159.68K,0.0076
"Nov 04, 2020",Nov,Wed,1300.55,1292.85,1308.8,1290.05,128.50K,-0.0007
"Nov 03, 2020",Nov,Tue,1301.45,1303,1311.5,1300,107.31K,-0.0006
"Nov 02, 2020",Nov,Mon,1302.25,1320.2,1321.75,1300,123.93K,-0.0098
"Oct 30, 2020",Oct,Fri,1315.2,1322.8,1329.45,1310,116.35K,-0.0116
"Oct 29, 2020",Oct,Thu,1330.6,1310,1340,1310,165.78K,-0.0021
"Oct 28, 2020",Oct,Wed,1333.35,1324,1339,1310,185.02K,0.0055
"Oct 27, 2020",Oct,Tue,1326,1326,1328.9,1297.05,214.18K,0.0041
"Oct 26, 2020",Oct,Mon,1320.65,1329,1331,1318,159.58K,-0.0055
"Oct 23, 2020",Oct,Fri,1327.95,1329,1332.85,1327,84.50K,0.0002
"Oct 22, 2020",Oct,Thu,1327.75,1333,1337.7,1326.35,90.63K,-0.003
"Oct 21, 2020",Oct,Wed,1331.75,1336.55,1343.9,1328,156.43K,-0.0003
"Oct 20, 2020",Oct,Tue,1332.2,1326,1342.7,1326,212.95K,0.004
"Oct 19, 2020",Oct,Mon,1326.9,1330,1335,1325.3,119.60K,-0.0009
"Oct 16, 2020",Oct,Fri,1328.1,1329,1340,1325,141.61K,-0.0011
"Oct 15, 2020",Oct,Thu,1329.5,1340,1347.7,1326,234.82K,-0.0064
"Oct 14, 2020",Oct,Wed,1338.05,1350,1357.6,1331,346.04K,0.0012
"Oct 13, 2020",Oct,Tue,1336.5,1338.05,1348,1333.35,163.87K,0.0014
"Oct 12, 2020",Oct,Mon,1334.65,1355,1369.8,1330,443.94K,-0.0121
"Oct 09, 2020",Oct,Fri,1351,1366.5,1366.5,1348.5,151.21K,-0.0034
"Oct 08, 2020",Oct,Thu,1355.6,1368,1369.95,1350,268.48K,-0.001
"Oct 07, 2020",Oct,Wed,1356.9,1370,1376.5,1349,393.99K,-0.0051
"Oct 06, 2020",Oct,Tue,1363.85,1363,1373,1360,203.01K,-0.0089
"Oct 05, 2020",Oct,Mon,1376.05,1390,1391.05,1356.25,406.75K,-0.0024
"Oct 01, 2020",Oct,Thu,1379.3,1410,1410,1370,297.20K,-0.0034
"Sep 30, 2020",Sep,Wed,1384,1383.4,1419.5,1368.7,637.11K,0.0005
"Sep 29, 2020",Sep,Tue,1383.35,1370,1395,1364,437.12K,0.0119
"Sep 28, 2020",Sep,Mon,1367.05,1360,1372.5,1355,236.42K,0.0111
"Sep 25, 2020",Sep,Fri,1352.05,1360,1360,1340,222.71K,0.0099
"Sep 24, 2020",Sep,Thu,1338.85,1352.85,1366,1332,399.47K,-0.0248
"Sep 23, 2020",Sep,Wed,1372.85,1365,1380,1353.25,274.75K,0.0127
"Sep 22, 2020",Sep,Tue,1355.7,1390,1390,1330.1,569.17K,-0.0298
"Sep 21, 2020",Sep,Mon,1397.35,1425,1430,1380,947.38K,-0.0057
"Sep 18, 2020",Sep,Fri,1405.35,1376,1420,1370.7,753.21K,0.0253
"Sep 17, 2020",Sep,Thu,1370.7,1361,1374.1,1359,330.92K,0.0024
"Sep 16, 2020",Sep,Wed,1367.4,1376,1377,1364,232.14K,-0.0018
"Sep 15, 2020",Sep,Tue,1369.8,1375,1388,1361.15,298.47K,0.0014
"Sep 14, 2020",Sep,Mon,1367.85,1360,1388,1350,861.60K,-0.002
"Sep 11, 2020",Sep,Fri,1370.55,1369.5,1376,1351,445.38K,-0.0002
"Sep 10, 2020",Sep,Thu,1370.85,1360,1383.95,1350.15,668.79K,0.0163
"Sep 09, 2020",Sep,Wed,1348.9,1350,1358.7,1321.15,1.90M,-0.0221
"Sep 08, 2020",Sep,Tue,1379.45,1421,1459.9,1350,3.20M,-0.025
"Sep 07, 2020",Sep,Mon,1414.85,1390,1451.65,1366,3.21M,0.0364
